GEO.id,GEO.id2,GEO.display-label,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
Id,Id2,Geography,RECORD CODES - File Identification,RECORD CODES - State/US-Abbreviation (USPS),RECORD CODES - Summary Level,RECORD CODES - Geographic Component,RECORD CODES - Characteristic Iteration,RECORD CODES - Characteristic Iteration File Sequence Number,RECORD CODES - Logical Record Number,GEOGRAPHIC AREA CODES - Region,GEOGRAPHIC AREA CODES - Division,GEOGRAPHIC AREA CODES - State (FIPS),GEOGRAPHIC AREA CODES - County,GEOGRAPHIC AREA CODES - FIPS County Class Code,GEOGRAPHIC AREA CODES - County Size Code,GEOGRAPHIC AREA CODES - County Subdivision (FIPS),GEOGRAPHIC AREA CODES - FIPS County Subdivision Class Code,GEOGRAPHIC AREA CODES - County Subdivision Size Code,GEOGRAPHIC AREA CODES - Place (FIPS),GEOGRAPHIC AREA CODES - FIPS Place Class Code,GEOGRAPHIC AREA CODES - Place Size Code,GEOGRAPHIC AREA CODES - Census Tract,GEOGRAPHIC AREA CODES - Block Group,GEOGRAPHIC AREA CODES - Block,GEOGRAPHIC AREA CODES - Internal Use Code,GEOGRAPHIC AREA CODES - Consolidated City (FIPS),GEOGRAPHIC AREA CODES - FIPS Consolidated City Class Code,GEOGRAPHIC AREA CODES - Consolidated City Size Code,GEOGRAPHIC AREA CODES - American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),GEOGRAPHIC AREA CODES - American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),GEOGRAPHIC AREA CODES - FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,GEOGRAPHIC AREA CODES - American Indian Trust Land/Hawaiian Home Land Indicator,GEOGRAPHIC AREA CODES - American Indian Tribal Subdivision (Census),GEOGRAPHIC AREA CODES - American Indian Tribal Subdivision (FIPS),GEOGRAPHIC AREA CODES - FIPS American Indian Tribal Subdivision Class Code,GEOGRAPHIC AREA CODES - Tribal Census Tract,GEOGRAPHIC AREA CODES - Tribal Block Group,GEOGRAPHIC AREA CODES - Alaska Native Regional Corporation (FIPS),GEOGRAPHIC AREA CODES - FIPS Alaska Native Regional Corporation Class Code,GEOGRAPHIC AREA CODES - Metropolitan Statistical Area/Micropolitan Statistical Area,GEOGRAPHIC AREA CODES - Metropolitan Statistical Area/Micropolitan Statistical Area Size Code,GEOGRAPHIC AREA CODES - Metropolitan Division,GEOGRAPHIC AREA CODES - Combined Statistical Area,GEOGRAPHIC AREA CODES - New England City and Town Area,GEOGRAPHIC AREA CODES - New England City and Town Area Size Code,GEOGRAPHIC AREA CODES - New England City and Town Area Division,GEOGRAPHIC AREA CODES - Combined New England City and Town Area,GEOGRAPHIC AREA CODES - Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator,GEOGRAPHIC AREA CODES - New England City and Town Area Principal City Indicator,GEOGRAPHIC AREA CODES - Urban Area,GEOGRAPHIC AREA CODES - Urban Area Size Code,GEOGRAPHIC AREA CODES - Urban Area Type,GEOGRAPHIC AREA CODES - Urban/Rural,GEOGRAPHIC AREA CODES - Congressional District (111th),GEOGRAPHIC AREA CODES - State Legislative District (Upper Chamber) (Year 1),GEOGRAPHIC AREA CODES - State Legislative District (Lower Chamber) (Year 1),GEOGRAPHIC AREA CODES - Voting District,GEOGRAPHIC AREA CODES - Voting District Indicator,GEOGRAPHIC AREA CODES - Reserved,GEOGRAPHIC AREA CODES - ZIP Code Tabulation Area (5 digit),GEOGRAPHIC AREA CODES - Subminor Civil Division (FIPS),GEOGRAPHIC AREA CODES - FIPS Subminor Civil Division Class Code,GEOGRAPHIC AREA CODES - School District (Elementary),GEOGRAPHIC AREA CODES - School District (Secondary),GEOGRAPHIC AREA CODES - School District (Unified),AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,AREA CHARACTERISTICS - Functional Status Code,AREA CHARACTERISTICS - Geographic Change User Note Indicator,AREA CHARACTERISTICS - Population Count (100%),AREA CHARACTERISTICS - Housing Unit Count (100%),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude),AREA CHARACTERISTICS - Legal/Statistical Area Description Code,AREA CHARACTERISTICS - Part Flag,SPECIAL AREA CODES - Reserved,SPECIAL AREA CODES - Urban Growth Area,SPECIAL AREA CODES - State (ANSI),SPECIAL AREA CODES - County (ANSI),SPECIAL AREA CODES - County Subdivision (ANSI),SPECIAL AREA CODES - Place (ANSI),SPECIAL AREA CODES - Consolidated City (ANSI),SPECIAL AREA CODES - American Indian Area/Alaska Native Area/Hawaiian Home Land (ANSI),SPECIAL AREA CODES - American Indian Tribal Subdivision (ANSI),SPECIAL AREA CODES - Alaska Native Regional Corporation (ANSI),SPECIAL AREA CODES - Subminor Civil Division (ANSI),SPECIAL AREA CODES - Congressional District (113th),SPECIAL AREA CODES - Congressional District (114th),SPECIAL AREA CODES - Congressional District (115th),SPECIAL AREA CODES - State Legislative District (Upper Chamber) (Year 2),SPECIAL AREA CODES - State Legislative District (Upper Chamber) (Year 3),SPECIAL AREA CODES - State Legislative District (Upper Chamber) (Year 4),SPECIAL AREA CODES - State Legislative District (Lower Chamber) (Year 2),SPECIAL AREA CODES - State Legislative District (Lower Chamber) (Year 3),SPECIAL AREA CODES - State Legislative District (Lower Chamber) (Year 4),SPECIAL AREA CODES - American Indian Area/Alaska Native Area/Hawaiian Home Land Size Code,SPECIAL AREA CODES - Combined Statistical Area Size Code,SPECIAL AREA CODES - Combined NECTA Size Code,SPECIAL AREA CODES - Metropolitan Micropolitan Indicator,SPECIAL AREA CODES - NECTA Metropolitan Micropolitan Indicator,SPECIAL AREA CODES - Public Use Microdata Area,SPECIAL AREA CODES - Reserved
0400000US01,01,Alabama,DPUS  ,US,040,00,000,  ,0000300,3,6,01,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,  131170787086,    4596557532,Alabama,A,!,4779736(r38235),2171853(r15032),+32.7396323,-086.8434593,00, ,      ,     ,01779775,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US02,02,Alaska,DPUS  ,US,040,00,000,  ,0001501,4,9,02,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     , 1477953211577,  245383480336,Alaska,A,!,710231(r38823),306967(r15611),+63.3461910,-152.8370679,00, ,      ,     ,01785533,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US04,04,Arizona,DPUS  ,US,040,00,000,  ,0002002,4,8,04,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,  294207314414,    1026196264,Arizona,A,!,6392017,2844526,+34.2099643,-111.6024010,00, ,      ,     ,01779777,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US05,05,Arkansas,DPUS  ,US,040,00,000,  ,0002635,3,7,05,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,  134771261408,    2960539257,Arkansas,A,!,2915918(r39193),1316299(r15934),+34.8955256,-092.4446262,00, ,      ,     ,00068085,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US06,06,California,DPUS  ,US,040,00,000,  ,0004680,4,9,06,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,  403466310059,   20501110720,California,A,!,37253956,13680081,+37.1485730,-119.5406515,00, ,      ,     ,01779778,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US08,08,Colorado,DPUS  ,US,040,00,000,  ,0006850,4,8,08,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,  268431246426,    1170101258,Colorado,A,!,5029196,2212898,+38.9935752,-105.5077737,00, ,      ,     ,01779779,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US09,09,Connecticut,DPUS  ,US,040,00,000,  ,0007707,1,1,09,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,   12541641427,    1815734898,Connecticut,A,!,3574097,1487891,+41.5797842,-072.7466666,00, ,      ,     ,01779780,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US10,10,Delaware,DPUS  ,US,040,00,000,  ,0008244,3,5,10,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,    5046703785,    1399060967,Delaware,A,!,897934,405885,+38.9935501,-075.4473739,00, ,      ,     ,01779781,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
0400000US11,11,District of Columbia,DPUS  ,US,040,00,000,  ,0008432,3,5,11,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,     158114680,      18884970,District of Columbia,A,!,601723(r39494),296719(r16187),+38.9041485,-077.0170942,00, ,      ,     ,01702382,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
